,지역,상호,주소,상표
110,경기,기흥서일충전소,경기 용인시 기흥구 신갈동 357-2  ,GS칼텍스
111,경기,㈜오일유업 경춘LPG충전소,경기 가평군 가평읍 경춘로 1770  ,GS칼텍스
112,경기,SK원미가스충전소,경기 부천시 원미구 길주로 610 (춘의동)  ,SK가스
113,경기,화성(목포방향)충전소,경기 화성시 팔탄면 덕천리 102-6  ,S-OiL
114,경기,중동충전소,경기 부천시 오정구 벌말로 62 (대장동)  ,E1
115,경기,늘푸른충전소,경기 포천시 영중면 호국로 3110  ,GS칼텍스
116,경기,가학충전소,경기 광명시 광명로 159 (가학동)  ,SK가스
117,경기,성원에너지(주),경기 가평군 가평읍 경춘로 1983-11  ,S-OiL
118,경기,광릉충전소,경기 남양주시 진접읍 금강로 1937  ,S-OiL
119,경기,용문가스충전소,경기 양평군 용문면 경강로 3301  ,S-OiL
120,경기,동두천엘피지,경기도 동두천시 강변로 36 (송내동)  ,SK
121,경기,SK덕평충전소,경기 이천시 마장면 서이천로 189-11  ,SK가스
122,경기,"씨앤에스에너지(주)여주(상)주유소,충전소",경기 여주군 가남면 화평길 116  ,현대오일뱅크
123,경기,대경석유㈜송산마도아이씨충전소,경기 화성시 송산면 화성로 624  ,GS칼텍스
124,경기,용석개발(주)문봉충전소,경기 고양시 일산동구 성현로 368 (문봉동)  ,"기타(무폴,복수폴)"
125,경기,목감(광명방향)충전소,경기도 시흥시 목감1길 47 (목감동) 목감(서울방향)주유소,SK
126,경기,우일에너지 주식회사(안산지점),경기 안산시 상록구 수인로 1848 (장상동),SK
127,경기,라인45충전소,경기 평택시 팽성읍 팽성로 226  ,SK
128,경기,야목역충전소,"경기도 화성시 매송면 매송로 279, 야목역충전소 야목역충전소",현대오일뱅크
129,경기,태원충전소,경기 광주시 곤지암읍 경충대로 290  ,SK가스
130,경기,해뜨는충전소,경기 화성시 봉담읍 삼천병마로 1128-3  ,GS칼텍스
131,경기,시흥목감LPG충전소,경기 시흥시 수인로 2536 (논곡동)  ,E1
132,경기,한일크린에너지(주)평택지점,경기도 평택시 서해로 1576-2 (청북면)  ,"기타(무폴,복수폴)"
133,경기,한일크린에너지㈜,경기 안성시 안성맞춤대로 872 (계동)  ,현대오일뱅크
134,경기,(주)경기에너지,경기도 파주시 시청로 302(야동동)  ,S-OiL
135,경기,황계충전소,"경기도 수원시 권선구 경수대로 14, 59-1 (대황교동) 59-1",SK가스
136,경기,선감충전소,경기 안산시 단원구 대부황금로 123 (선감동)  ,GS칼텍스
137,경기,운정드림충전소,"경기도 파주시 파주로 725, 운정드림충전소 (교하동) 운정드림충전소",S-OiL
138,경기,중앙에너지주식회사,경기 양평군 옥천면 경강로 1564  ,GS칼텍스
139,경기,안양엘피지충전소,경기 안양시 동안구 경수대로 957 (비산동)  ,E1
140,경기,지산LPG충전소,경기 평택시 지산로 229 (지산동)  ,E1
141,경기,㈜와이이에스 자유제일충전소,경기 고양시 덕양구 자유로 489 (행주외동)  ,SK
142,경기,㈜와이이에스 고촌LPG충전소,경기도 김포시 태장로  70,SK
143,경기,용인충전소,경기 용인시 처인구 백옥대로 1225-6 (유방동)  ,SK가스
144,경기,대기가스충전소,경기 성남시 수정구 산성대로 217 (신흥1동)  ,SK
145,경기,동탄 뉴타운충전소,경기 화성시 동탄면 경기동로 228  ,GS칼텍스
146,경기,화랑포충전소,경기 가평군 청평면 경춘로 121  ,E1
147,경기,태현충전소,경기도 안성시 안성대로 1535 (대덕면)  ,SK
148,경기,반월충전소,경기 안산시 상록구 서해로 2833 (사사동)  ,SK
149,경기,(주)몬타나파트너스,경기 평택시 서동대로 3616 (합정동)  ,SK
150,경기,가남LPG충전소,경기 여주군 가남면 경충대로 1331  ,E1
151,경기,조암충전소(다원에프엔씨),경기 화성시 우정읍 호곡길 84  ,SK가스
152,경기,배곧충전소,경기 시흥시 서해안로 559 (정왕동)  ,SK
153,경기,안성LPG충전소,경기 안성시 미양로 920 (도기동)  ,SK가스
154,경기,대성에너지 GS경춘대성점,경기 가평군 청평면 경춘로 30  ,E1
155,경기,해안로충전소,경기 안산시 상록구 해안로 738 (사동)  ,GS칼텍스
156,경기,(주)평송,경기 평택시 진위면 경기대로 1915  ,SK
157,경기,㈜부림에너지,경기 김포시 김포대로 707 (풍무동)  ,SK가스
158,경기,구갈(대천)충전소,경기 용인시 기흥구 중부대로 514 (구갈동)  ,GS칼텍스
159,경기,군포충전소,경기 군포시 번영로 204  군포LPG충전소,GS칼텍스
160,경기,(주)오름씨앤엔 내촌충전소,경기 포천시 내촌면 금강로 2427  ,"기타(무폴,복수폴)"
161,경기,(주)에이치디에너지 양주지점,경기 양주시 장흥면 일영로 748  ,GS칼텍스
162,경기,(주)케이엘페트로수원현대충전소,경기 수원시 권선구 권선로 337 (서둔동)  ,현대오일뱅크
